R0000100,R0536300,R0536401,R0536402,R1204500,R1235800,R1482600,T5201400,T5202300,T5207400,T5211900,T5213200,T5397100,T6055500,T6141700,T6141800,T6145800,T6206400,T6210200,T6216400,T6216401,T6216402,T6216403,T6216500,T6216501,T6216502,T6216503,T6231000,T8123600,T8123700,T8129600,T8134500,T8976700,T9039300,T9039400,T9039500,T9039600,T9039700,T9039800,T9039900,T9040000,T9093100,T9093300,U0203700,T5915200,T5206800,T8128900,T5797300,T5808400,T6316000,T6230100,R0532200,R1302400,R1302500,R1486500,R1486600,R1486900,R1487700,R1487800,U0009400
3654,1,2,1982,12000,1,1,28,3,0,1,106839,-4,5000,5,6,2,1,0,3,1,7,7,3,7,6,7,4250,31,3,0,1,10000,152,4,3,5,1,5,4,2,1,0,-4,0,9,9,0,1,-4,7770,0,-3,-3,4,3,400,5,2,0
3655,2,1,1984,12000,1,1,26,3,2,1,105125,-4,5000,5,4,3,3,0,1,7,5,7,7,3,6,7,4230,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,-5,0,3,-4,8190,0,-3,-3,2,-4,400,1,0,-5
3656,1,4,1983,21700,1,4,27,3,1,1,316249,-4,-2,6,1,4,2,0,1,1,1,1,5,7,5,7,5930,30,3,1,1,180331,280,4,1,3,1,4,5,1,3,0,-4,0,-3,-3,0,1,1,8290,0,12,14,-4,1,500,8,3,1
3657,1,10,1984,3010,1,1,26,3,1,1,320741,-4,-4,6,5,2,1,0,1,7,7,6,1,1,7,7,3920,29,1,1,1,8000,170,4,3,5,1,5,2,2,3,0,-4,0,11,11,0,2,-4,7680,0,-3,12,3,-4,200,0,0,1
3658,1,10,1980,-4,1,4,30,3,4,1,415421,-4,59000,5,3,3,2,0,1,1,7,7,4,1,6,5,940,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,-5,0,2,-4,7280,0,12,12,4,-4,-4,1,2,-5
3659,1,4,1982,55500,1,1,28,3,2,1,259430,325,5200,6,0,4,2,0,2,3,7,6,5,5,5,5,2540,31,3,4,1,40000,275,5,2,4,1,5,5,1,2,0,-4,0,12,16,-2,1,-4,7860,1,20,18,4,3,400,0,2,4
3660,1,3,1982,78050,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,1,14,14,4,4,200,1,1,4
3661,2,12,1980,40000,1,4,29,3,3,1,434977,-4,-4,5,0,4,3,0,1,3,6,5,5,4,4,4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,1,12,-5,-4,-4,-4,-4,1,12,12,4,2,200,0,2,3
3662,2,6,1984,40000,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,12,4,4,200,0,0,-5
3663,1,12,1980,-3,1,1,30,3,4,0,360460,-4,30000,5,10,3,1,0,1,1,7,5,6,5,5,3,2140,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,-5,0,1,-4,7270,1,16,16,3,4,-4,1,1,-5
3664,1,12,1980,85900,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,16,16,4,4,300,0,0,-5
3665,1,3,1983,85900,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,16,16,4,4,300,0,0,-5
3666,1,8,1980,43000,1,2,30,3,1,1,342642,-4,42000,5,10,4,1,0,2,5,7,5,3,2,4,6,220,33,3,1,1,30000,210,4,2,5,1,5,5,1,1,0,-4,2,11,14,0,3,-4,770,0,-3,15,4,4,-4,2,0,1
3667,2,10,1982,95000,1,3,28,3,0,1,364865,-4,-4,5,6,4,2,-2,3,7,7,6,-2,1,-2,-2,-4,31,3,0,1,5000,200,-2,3,4,2,3,3,2,3,1,-5,0,8,8,-4,-4,-4,-4,1,-3,-3,1,1,-4,6,2,-5
3668,1,4,1980,-3,1,2,30,3,2,1,141987,-4,-2,5,11,4,1,0,3,4,4,7,5,6,4,5,4120,34,3,2,1,24000,215,3,3,4,1,3,4,3,2,0,-4,0,12,12,0,2,-4,8680,0,-3,-3,2,-4,-4,0,1,2
3669,1,8,1983,0,1,2,27,3,2,1,104060,-4,42000,5,6,4,3,0,1,1,7,7,7,2,6,7,-3,30,3,2,1,36000,170,5,1,4,1,5,5,1,2,0,-4,1,12,13,0,1,-4,-3,1,14,12,4,4,400,0,0,2
3670,2,2,1982,-4,1,2,28,1,0,1,97703,-4,-4,5,0,3,3,1,1,1,5,1,7,4,7,7,-4,31,1,0,1,-4,125,1,5,5,1,5,5,1,2,1,-4,0,8,8,-4,-4,-4,-4,0,-4,-3,4,-4,-4,4,3,0
3671,1,8,1984,11000,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,12,2,-4,125,0,0,-5
3672,1,1,1980,12000,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,10,9,2,3,-4,0,0,-5
3673,2,7,1981,24700,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,15,4,-4,-4,0,0,-5
3674,1,9,1983,22100,1,1,27,3,4,1,117937,-4,43000,6,5,3,1,0,1,1,7,4,6,6,6,3,2320,30,3,4,1,45000,270,3,3,3,1,3,1,2,2,0,-4,0,12,16,0,2,1,7860,0,12,12,3,3,600,4,2,4
3675,1,12,1982,17500,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-4,16,2,2,400,2,2,-5
3676,1,2,1984,17500,1,1,26,3,1,1,126757,-4,20000,5,10,4,4,0,1,2,7,6,5,6,7,2,4430,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,1,9,-5,0,1,-4,8660,0,-4,16,3,1,400,4,0,1
3677,2,2,1980,24000,1,1,30,3,2,1,90489,-4,27000,-2,-2,3,2,0,3,3,7,5,7,5,4,3,1040,34,3,2,1,-2,132,2,1,1,5,1,1,5,1,0,-4,0,12,13,0,3,1,7380,0,10,12,-4,4,-4,0,0,2
3678,2,1,1983,-4,1,1,27,3,2,1,104790,-4,1200,-2,-2,3,1,0,1,7,7,6,5,1,7,7,3600,31,3,2,1,14400,158,4,5,5,1,5,4,1,1,0,-4,2,12,12,-4,-4,-4,8270,1,-3,-3,4,-4,-4,0,0,2
3679,1,12,1984,-4,1,1,25,3,3,1,126757,-4,-4,5,8,4,3,1,1,1,7,7,5,1,3,7,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,-5,-4,-4,-4,-4,0,12,-4,2,3,-4,0,0,-5
3680,1,11,1982,36000,1,2,28,3,4,1,115846,-4,-1,5,8,4,2,0,5,3,7,6,5,2,7,6,4720,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,-5,0,2,-4,8680,0,-4,-3,4,2,400,0,0,-5
3681,2,7,1984,31000,1,2,26,3,2,1,104038,400,30000,5,4,3,2,0,3,2,7,7,5,1,7,2,3130,29,3,4,1,-4,175,1,2,4,2,3,5,1,2,0,-4,1,12,16,0,1,-4,8380,1,5,12,2,4,400,1,0,4
3682,2,1,1982,21200,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,32,3,5,1,47000,130,4,3,4,1,5,5,1,2,0,-4,-5,-5,18,-5,-5,-5,-5,0,18,18,2,2,500,0,0,5
3683,1,10,1983,12000,1,2,27,3,2,1,231421,-4,-4,5,10,3,3,1,1,3,7,6,3,6,7,4,2630,30,3,2,1,15000,175,2,3,1,1,4,5,1,3,0,-4,0,12,14,-4,1,-4,6490,1,-3,-3,4,4,0,0,0,2
3684,1,10,1984,27000,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,29,-4,2,-4,5000,180,1,1,3,3,4,4,3,2,0,-4,-5,-5,18,-5,-5,-5,-5,1,-3,-3,2,2,200,0,0,2
3685,1,2,1981,22000,1,2,29,3,2,1,126696,260,45000,6,0,4,2,0,1,1,7,6,4,3,6,4,5700,32,3,2,1,62000,220,5,1,5,1,4,4,1,1,0,300,1,12,15,0,1,0,8190,1,-3,-3,3,2,400,0,3,4
3686,1,6,1984,22000,1,2,26,3,3,1,113039,-4,250,6,2,2,4,1,4,6,5,5,4,2,4,4,9130,29,3,3,1,500,160,3,2,2,2,3,2,4,4,1,-4,0,12,15,0,3,-4,7180,1,-3,-3,4,2,400,0,0,4
3687,1,9,1981,11849,1,2,29,3,1,1,126753,-4,36000,5,7,4,2,0,2,2,6,6,6,2,4,4,6420,32,3,1,1,32000,175,5,-2,5,2,4,5,1,2,0,-4,1,10,10,-4,1,-4,770,0,14,16,-4,3,300,1,1,1
3688,2,8,1983,11849,1,2,27,3,1,1,107607,-4,-4,5,3,4,3,0,4,3,5,7,5,1,5,6,-4,30,3,1,1,-4,198,4,5,4,2,4,5,1,3,0,-4,0,10,10,-4,-4,-4,-4,0,14,16,-4,3,300,0,0,1
3689,2,8,1982,0,1,2,28,3,4,1,97558,-4,30000,5,2,3,1,0,2,1,7,6,6,1,6,2,230,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,12,-5,0,3,-4,8470,1,13,10,2,2,300,0,0,-5
3690,1,8,1982,-3,1,2,28,3,2,1,118364,-4,7860,5,8,4,1,0,1,6,7,6,4,6,5,6,4530,31,3,2,1,-4,180,4,1,4,1,4,5,1,1,0,-4,0,12,13,1,4,0,6070,1,12,12,4,4,200,1,0,2
3691,2,9,1983,-3,1,1,27,1,3,1,243433,280,27000,5,4,3,3,0,1,5,7,6,5,1,4,7,2000,30,1,4,1,-2,125,3,1,3,1,3,5,1,3,0,-4,0,12,16,0,3,-4,6890,0,-3,7,2,-4,600,0,0,4
3692,1,1,1983,30200,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,13,12,1,2,500,2,1,-5
3693,1,2,1984,30200,1,2,26,3,2,1,119570,-4,46000,5,8,4,2,0,1,1,7,7,4,4,5,3,7130,29,3,2,1,70000,220,3,3,4,1,4,4,2,3,0,-4,1,12,12,0,1,-4,7680,1,13,12,2,2,500,2,0,2
3694,2,1,1980,0,1,2,30,4,0,1,136072,-4,22000,5,4,3,2,0,4,3,6,5,3,5,3,4,5400,33,4,0,1,29500,110,2,2,2,2,1,3,3,2,0,-4,1,11,11,0,3,-4,7970,0,-3,-3,2,4,-4,0,0,0
3695,1,1,1981,11000,1,2,29,3,3,1,134016,-4,34000,5,4,3,1,0,1,1,7,7,7,2,7,7,7020,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,-5,0,2,-4,6690,1,7,8,2,2,100,0,0,-5
3696,2,11,1984,11000,1,2,26,3,2,1,112390,-4,15000,5,4,4,2,0,1,1,1,7,4,1,7,7,5840,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,-5,0,3,-4,6990,1,7,8,2,4,100,0,0,-5
3697,2,6,1982,10000,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-4,11,2,-4,400,1,1,-5
3698,1,7,1983,11000,1,4,27,2,0,1,369385,-4,-4,5,10,3,1,0,1,4,7,5,7,1,7,7,-4,30,2,0,1,7000,180,4,4,4,1,4,4,1,1,0,-4,2,10,10,-4,-4,1,-4,0,-3,-3,-4,2,400,0,0,0
3699,2,9,1981,4230,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,32,3,0,1,-4,197,2,1,5,1,5,5,1,3,0,-4,-5,-5,13,-5,-5,-5,-5,1,19,2,3,3,-4,0,0,0
3700,2,2,1982,0,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-4,-3,3,-4,100,4,1,-5
3701,1,1,1983,0,1,2,27,3,1,1,109859,-4,40000,5,9,3,3,0,1,3,7,7,4,7,1,7,6520,30,3,1,1,50000,160,2,1,4,1,3,4,1,2,0,-4,0,9,9,1,1,1,770,0,-4,-3,4,-4,100,6,2,1
3702,1,1,1982,-3,1,2,28,3,2,1,125146,290,29000,5,5,3,2,0,1,2,7,6,6,2,7,7,3800,32,3,2,1,35000,180,3,1,4,1,4,4,1,2,0,-4,1,12,15,0,1,0,9470,1,12,12,4,4,-4,0,0,2
3703,2,8,1983,9000,1,2,27,-4,4,-4,109013,-4,15000,5,3,3,3,1,5,5,7,7,4,4,7,7,50,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,-5,-4,1,-4,1680,0,12,12,2,-4,500,0,1,-5
3704,2,7,1981,47000,1,2,29,-4,4,-4,90746,-4,40000,5,4,5,3,0,4,5,6,7,3,6,3,6,4700,32,-4,4,-4,24000,163,3,3,2,2,2,4,1,4,0,-4,1,12,16,-4,-4,-4,4790,0,16,16,2,3,-4,3,2,4
3705,2,5,1983,90000,1,4,27,3,4,1,341558,-4,24000,5,6,3,2,0,1,2,7,7,4,2,6,4,430,30,3,4,1,-2,120,3,3,4,1,4,4,2,3,0,-4,0,12,16,0,1,0,8590,1,20,18,4,1,200,0,0,4
3706,1,9,1981,-3,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,16,16,2,2,-4,0,0,-5
3707,1,9,1980,23802,1,1,30,3,0,1,165882,-4,520,6,2,-4,3,-2,5,6,7,7,7,6,4,4,-4,33,3,0,1,-4,250,4,4,3,1,2,3,4,1,0,-4,0,9,9,-4,-4,1,-4,0,-3,11,2,1,-4,3,1,0
3709,1,12,1983,55300,1,1,26,3,2,1,134535,-4,35000,5,6,3,3,0,1,2,7,7,6,3,5,4,-3,29,3,2,1,30000,147,3,3,3,1,4,3,2,3,0,-4,1,12,12,-4,3,-4,-3,0,12,-4,2,2,400,0,0,2
3710,2,11,1981,33960,1,1,28,3,2,1,135672,-4,-4,5,5,3,1,0,1,1,7,6,6,1,5,6,4760,32,3,2,1,10000,138,3,5,3,1,1,3,4,1,0,-4,1,12,12,-4,-4,-4,5570,1,12,12,3,1,-4,0,1,2
3711,2,11,1981,70220,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,32,3,-3,1,-1,-1,5,2,5,1,5,5,2,3,0,-4,-5,-5,-3,-5,-5,-5,-5,0,-3,11,4,3,-4,0,0,-3
3712,2,12,1984,8253,1,2,25,3,4,1,118680,-4,60000,5,0,3,1,0,1,1,7,7,3,2,5,7,-3,29,3,4,1,4000,154,5,1,5,1,3,4,1,1,0,-4,0,12,16,-4,3,0,-3,0,12,14,4,4,600,0,0,4
3713,2,11,1981,35200,1,4,28,2,3,0,340507,290,-4,5,5,5,2,0,1,2,1,5,3,1,6,3,-4,32,2,3,0,-4,260,4,3,5,1,5,4,1,2,0,-4,1,12,14,-4,-4,-4,-4,0,13,13,2,2,200,0,0,3
3714,1,1,1983,35200,1,4,27,2,2,0,320947,-4,29000,5,8,4,3,0,2,3,6,6,4,2,6,3,6600,30,2,2,0,61000,225,4,5,5,2,3,4,2,3,0,-4,1,12,12,0,2,-4,2570,0,13,13,3,3,200,2,2,2
3715,1,7,1984,35200,1,4,26,2,0,0,351852,-4,9000,5,9,3,2,0,3,4,6,5,6,6,5,3,9620,29,2,0,1,65000,180,4,3,4,1,5,4,2,1,0,-4,0,8,8,0,3,-4,4280,0,13,13,1,1,200,1,1,0
3716,2,7,1980,36200,1,1,30,3,1,1,104279,-4,2300,5,4,4,3,0,1,5,6,6,5,2,5,6,4720,33,3,1,1,12000,160,3,4,4,1,3,2,2,2,0,-4,0,8,8,-2,3,-4,8680,1,12,12,2,2,300,2,0,1
3717,2,8,1981,36200,1,1,29,3,0,1,137058,-4,-2,5,1,3,1,0,7,7,7,7,2,1,7,7,4020,32,3,0,1,-2,140,5,5,5,1,5,5,1,1,0,-4,0,9,9,0,1,-4,8680,1,12,12,2,2,300,4,2,1
3718,2,8,1982,36200,1,1,28,3,0,1,130455,-4,10800,5,4,4,3,0,1,1,6,6,2,3,5,6,4010,31,3,0,1,18000,250,4,1,4,1,4,4,2,4,0,-4,1,8,8,1,1,-4,7860,1,12,12,4,4,300,0,0,0
3719,1,10,1980,12300,1,2,30,3,1,1,159907,-4,16000,5,11,4,3,0,1,1,6,4,4,7,7,4,4220,33,3,1,1,53000,220,4,5,4,3,4,4,2,2,0,-4,0,10,10,0,3,-4,7690,0,10,12,4,-4,-4,5,3,1
3720,2,12,1983,-4,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,14,12,-4,4,-4,0,1,-5
3721,1,4,1982,-4,1,4,28,3,2,1,360240,-4,-4,6,0,3,4,0,1,1,7,7,1,7,7,7,6350,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,0,12,-5,0,3,-4,770,0,16,12,1,4,-4,8,2,2
3722,2,11,1982,22702,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,9,12,3,1,200,0,2,-5
3723,1,2,1982,-4,1,4,28,3,1,1,360240,-4,38000,6,3,4,1,0,3,3,7,5,7,7,1,1,7130,31,3,1,0,45000,310,5,1,5,1,5,5,1,2,0,-4,1,10,14,0,2,-4,7680,0,-3,13,2,-4,-4,3,3,1
3724,1,4,1980,-3,1,4,30,3,2,1,396326,-4,52000,5,8,3,1,0,1,1,7,7,4,7,5,7,6230,33,3,2,1,60000,180,3,1,4,1,3,4,2,1,0,-4,1,12,12,-4,1,-4,770,0,-3,12,1,-4,-4,5,3,2
3725,1,12,1983,53400,1,4,26,3,4,1,315505,-4,37000,6,9,5,2,0,1,2,6,6,4,2,5,3,420,29,3,4,1,45000,250,3,1,3,1,4,4,1,3,0,-4,1,12,16,0,1,-4,9170,1,13,14,4,3,400,0,0,4
3726,2,4,1981,58500,1,2,29,3,2,1,87670,-4,21000,5,8,4,3,0,2,2,6,6,3,1,5,5,4110,32,3,2,1,24000,225,2,1,3,1,3,3,1,3,0,-4,3,12,13,0,1,-4,8680,1,13,13,1,1,300,3,1,2
3727,2,1,1983,58500,1,2,27,3,2,1,105317,400,15600,5,4,4,2,0,1,1,6,6,2,5,6,6,4110,31,3,2,1,-4,135,4,4,3,1,4,4,2,3,0,-4,1,12,15,0,3,-4,8680,1,13,13,4,3,300,2,3,2
3728,1,12,1984,54700,1,4,25,3,3,1,332833,-2,45000,6,1,3,2,0,2,2,6,6,3,5,5,5,3920,28,3,3,1,38000,230,3,3,4,2,4,4,3,2,0,-4,3,12,15,0,2,-4,9590,1,12,11,3,4,200,2,1,3
3729,2,7,1980,10244,1,4,30,2,0,1,399323,-4,-4,5,4,4,4,0,1,1,5,7,4,1,5,7,4610,33,2,0,1,10000,160,5,4,5,1,4,4,1,3,0,-4,0,8,8,0,5,-4,8290,0,11,16,4,-4,-4,3,3,0
3730,2,3,1983,59844,1,4,28,3,0,1,330884,400,30000,5,3,3,4,0,1,1,7,7,1,1,7,7,4760,31,3,1,1,20000,115,3,4,2,2,2,1,3,4,0,-4,1,10,10,0,3,-4,4970,0,8,12,4,1,200,0,0,1
3731,1,9,1981,48635,1,4,29,3,4,1,333638,-4,35000,6,3,3,1,0,1,3,6,5,6,7,4,2,4110,32,3,4,1,60000,180,3,3,3,1,4,2,2,4,0,-4,1,12,16,0,3,1,8680,0,16,14,1,1,-4,3,3,4
3732,1,7,1981,45400,1,1,29,3,0,1,108711,-4,-2,6,2,3,3,0,2,7,6,5,6,3,4,4,4020,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,0,11,-5,0,2,-4,8680,0,12,13,4,3,-4,4,3,0
3733,1,10,1981,-3,1,1,29,2,1,1,108711,-4,-4,5,9,3,2,0,1,1,7,7,1,3,7,3,-4,32,2,1,1,-4,195,4,1,5,1,5,5,3,3,1,-4,0,11,11,-4,-4,-4,-4,0,9,12,4,4,-4,0,0,1
3734,1,8,1982,72014,1,1,28,3,2,1,104659,-4,-4,6,0,3,2,0,2,1,7,7,6,2,7,7,8140,31,3,2,1,25000,222,1,4,3,1,5,5,2,1,0,-4,0,12,12,0,1,-4,480,1,12,12,4,4,600,2,0,2
3735,2,5,1981,50426,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,12,2,2,-4,0,0,-5
3736,2,3,1981,55000,1,4,30,3,4,1,322101,-4,45000,5,3,3,2,0,5,1,7,6,3,1,4,7,2310,32,3,4,1,55000,145,3,1,4,2,3,3,4,4,0,-4,1,12,19,0,2,-4,7860,1,16,12,2,4,200,2,2,5
3737,1,1,1982,47030,1,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,31,3,3,1,50000,168,4,3,3,2,3,3,2,2,0,-4,-5,-5,16,-5,-5,-5,-5,1,12,12,4,3,500,0,0,3
3738,1,5,1984,35000,1,2,26,3,3,0,110684,-4,65000,5,6,4,2,0,1,1,7,7,3,1,3,6,7140,29,3,3,1,98000,200,5,5,5,1,4,5,2,2,0,-4,1,12,14,0,2,-4,6290,1,16,12,4,4,500,0,0,3
3739,2,8,1981,50010,1,1,29,3,3,1,118933,400,30000,5,3,2,2,0,3,3,7,5,5,7,3,2,800,32,3,4,1,37000,125,3,2,5,1,4,2,2,2,0,-4,1,12,16,0,3,-4,7590,1,12,12,4,3,600,0,2,4
3740,2,4,1984,50010,1,1,26,3,2,1,102980,-4,23000,5,7,3,1,0,1,2,7,5,3,3,5,4,5120,29,3,2,1,23000,135,1,3,2,2,2,2,2,1,0,400,3,12,12,0,3,-4,8660,1,12,12,1,4,600,0,1,2
3741,2,9,1981,73000,1,4,29,3,1,1,322101,-4,-4,5,9,2,1,0,2,1,7,7,5,2,7,7,-4,32,3,1,1,-4,187,4,1,3,1,5,4,2,1,0,-4,1,11,11,-4,-4,-4,-4,1,12,12,2,3,-4,1,1,1
3742,2,1,1981,40000,1,4,30,3,2,1,322101,-4,20000,5,4,4,2,1,1,2,7,6,3,1,7,6,3130,33,3,2,0,25000,150,4,3,3,2,4,5,1,2,0,-4,1,12,14,0,2,-4,8090,0,11,12,2,1,-4,0,2,2
3743,1,6,1981,-4,1,1,29,3,1,0,114146,-4,505,6,1,-4,2,0,2,6,6,7,7,3,6,1,-4,33,3,1,1,-4,185,5,5,4,2,5,4,1,1,0,-4,0,8,8,-4,-4,-4,-4,0,12,12,4,-4,-4,1,3,1
3744,2,6,1983,-4,1,1,27,3,0,1,110030,-4,5000,5,2,2,3,0,3,5,6,7,3,3,5,5,4230,30,3,0,1,5000,140,4,1,4,1,3,3,2,1,0,-4,0,9,9,1,3,-4,8660,0,12,12,2,-4,-4,2,0,0
3745,2,8,1984,43720,1,1,26,3,2,1,108128,300,63000,5,3,4,3,0,1,7,7,2,3,1,6,2,5630,29,3,2,1,180331,260,3,1,3,1,3,5,3,4,0,-4,0,12,15,1,3,-4,6290,0,12,13,3,-4,500,1,0,2
3746,1,4,1982,28600,1,1,29,3,2,0,109892,400,900,6,2,-4,1,0,1,4,7,4,2,7,4,7,-4,31,3,2,1,-4,210,5,1,5,1,4,5,1,1,0,-4,0,12,13,-4,-4,0,-4,0,10,12,2,2,400,0,0,2
3747,2,10,1982,43050,1,1,28,3,2,1,118863,-4,-4,5,2,3,1,0,1,4,7,7,4,5,7,1,-4,31,3,2,1,-4,187,5,3,4,1,1,5,1,1,0,-4,3,12,14,-4,-4,0,-4,1,12,12,3,1,600,4,1,3
3748,2,8,1980,23000,1,2,30,3,3,0,132258,-4,36000,5,7,4,3,0,1,1,7,7,7,5,6,6,4020,33,3,3,1,34000,-1,4,3,3,1,4,3,2,3,0,-4,0,12,14,0,1,-4,8680,0,11,12,4,4,-4,1,2,3
3749,1,6,1983,14432,1,1,27,3,1,1,123833,-4,-4,6,2,4,2,0,1,6,7,5,6,3,5,5,6260,30,3,1,1,12000,260,4,3,5,1,5,3,1,2,0,-4,1,10,14,0,3,-4,770,0,11,11,4,-4,300,0,0,1
3750,1,3,1980,33000,1,1,30,3,2,1,148384,-4,0,6,2,3,2,0,1,4,6,6,1,2,6,6,8810,33,3,2,1,20000,289,4,4,2,1,1,3,1,2,0,-4,0,12,12,-4,-4,-4,3680,0,12,14,4,1,500,3,0,2
3751,2,11,1984,33000,1,1,25,3,2,1,105081,-4,18372,5,10,4,3,0,2,1,7,5,5,2,5,6,2310,28,3,4,1,13000,200,4,4,4,1,5,5,1,3,0,-4,0,12,16,0,3,-4,7860,0,-3,14,4,1,500,0,0,4
