R0000100,R0536300,R0536401,R0536402,R1204500,R1235800,R1482600,T5201400,T5202300,T5207400,T5211900,T5213200,T5397100,T6055500,T6141700,T6141800,T6145800,T6206400,T6210200,T6216400,T6216401,T6216402,T6216403,T6216500,T6216501,T6216502,T6216503,T6231000,T8123600,T8123700,T8129600,T8134500,T8976700,T9039300,T9039400,T9039500,T9039600,T9039700,T9039800,T9039900,T9040000,T9093100,T9093300,U0203700,T5915200,T5206800,T8128900,T5797300,T5808400,T6316000,T6230100,R0532200,R1302400,R1302500,R1486500,R1486600,R1486900,R1487700,R1487800,U0009400
416,2,7,1980,-3,1,4,30,4,7,1,445911,-4,130254,5,0,3,3,0,1,1,7,7,6,1,4,6,2100,33,4,7,1,180331,125,4,2,3,1,5,5,2,3,0,-4,1,12,20,0,2,-4,7270,1,17,16,2,1,-4,0,0,7
417,2,5,1983,246474,1,4,27,4,4,1,369487,-4,45000,5,5,3,1,0,2,2,7,5,7,2,4,3,50,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,0,12,-5,0,2,0,7390,0,16,14,2,4,100,2,3,4
418,1,5,1983,132600,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,13,13,4,4,400,2,0,-5
419,1,2,1984,-3,1,4,27,4,2,1,371664,400,-4,6,1,3,2,0,2,1,6,6,5,2,3,4,2720,29,4,2,1,35000,205,3,5,2,2,2,1,3,2,0,-4,0,12,15,-4,2,-4,7890,1,16,14,2,3,100,2,1,2
420,1,3,1980,-3,1,4,30,4,4,1,388566,-4,56000,5,10,4,2,0,1,1,7,7,6,2,5,4,1300,33,4,4,1,75000,210,5,3,5,1,5,5,1,2,0,-4,1,12,17,0,1,-4,7290,0,20,17,4,2,-4,4,3,4
421,1,8,1982,43000,1,4,28,4,2,1,353187,-4,20000,5,10,4,3,0,7,7,5,3,7,3,7,1,5600,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,0,12,-5,0,3,-4,4470,1,-3,16,2,2,300,5,3,2
422,1,1,1981,103000,1,3,29,4,4,1,340311,-4,-2,5,6,3,2,0,1,1,7,6,3,1,6,6,3530,32,4,4,1,45000,160,3,2,5,1,4,3,2,2,0,-4,0,12,17,0,2,-4,8090,0,20,15,4,4,400,1,0,4
423,2,1,1984,103000,1,3,26,4,3,1,357746,-4,25000,5,8,5,3,0,2,1,3,5,7,5,5,3,2540,29,4,3,1,24000,393,3,2,1,3,3,2,3,4,0,-4,3,12,14,1,1,-4,7860,0,-3,12,2,2,400,1,1,3
424,2,6,1984,71700,1,2,26,1,4,1,112473,-4,45000,5,5,4,1,0,2,7,7,5,6,4,5,3,520,29,1,4,1,63500,122,1,3,5,1,4,-2,1,2,0,-4,0,12,17,1,3,-4,5380,1,17,17,2,2,200,1,1,4
425,2,8,1982,98000,1,4,28,4,4,1,363512,-4,30000,5,6,4,2,0,2,1,6,6,5,5,3,3,2320,31,4,4,1,45000,145,4,3,4,2,4,4,2,2,0,-4,1,12,18,0,4,-4,7860,1,16,12,4,4,125,2,3,4
